date,state,city,summary,month,year_month
2022-10-01,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1334E/KISSIMMEE ATCT ADVISED, EMBRAER E50P, REPORTED A WHITE UAS WHILE NNW BOUND AT 400 FEET ON A 1.5 MILE FOR RUNWAY 33. UAS CAME WITHIN 100 FEET OF ACFT. NO EVASIVE ACTION TAKEN. OSCEOLA COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-01,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS SIGHTING/1428C/NASHVILLE APCH ADVISED, GULFSTREAM AEROSPACE GLF4, GYI - BNA, REPORTED A UAS FROM THE RIGHT SIDE WHILE NNE BOUND AT 1,700 FEET ON 3 MILE FINAL RUNWAY 2C BNA. NO EVASIVE ACTION TAKEN. NASHVILLE PD NOTIFIED.",10,2022-10
2022-10-01,TEXAS,DALLAS,"PRELIM INFO FROM FAA OPS: DALLAS, TX/UAS SIGHTING/1725C/FORT WORTH TRACON ADVISED, CRJ7, DFW - LCH, REPORTED A SILVER UAS WHILE E BOUND AT 9,500 FEET 3 N RBD. NO EVASIVE ACTION TAKEN. DFW DPS NOTIFIED.",10,2022-10
2022-10-01,TEXAS,DALLAS,"CORRECTION (CALLSIGN) INFO FROM FAA OPS: DALLAS, TX/UAS SIGHTING/1725C/FORT WORTH TRACON ADVISED, CRJ7, DRT - DFW, REPORTED A SILVER UAS WHILE E BOUND AT 9,500 FEET 3 N RBD. NO EVASIVE ACTION TAKEN. DFW DPS NOTIFIED.",10,2022-10
2022-10-01,FLORIDA,NEW SMYRNA BEACH,"PRELIM INFO FROM FAA OPS: NEW SMYRNA BEACH, FL/UAS SIGHTING/2234E/DAYTONA TRACON ADVISED, HELO, REPORTED A GREEN  UAS AT THE 1 O'CLOCK POSITION WHILE NE BOUND AT 1,000 FEET 8 WSW EVB. NO EVASIVE ACTION TAKEN. VOLUSIA COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-02,FLORIDA,JACKSONVILLE,"PRELIM INFO FROM FAA OPS: JACKSONVILLE, FL/UAS SIGHTING/1202E/JACKSONVILLE TRACON ADVISED, BEECH B350, REPORTED A UAS 500 FEET ABOVE ACFT WHILE N BOUND AT 7,500 FEET 7 N CRAIG ARPT, JACKSONVILLE. NO EVASIVE ACTION REPORTED. DUVAL COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-02,CALIFORNIA,LONG BEACH,"PRELIM INFO FROM FAA OPS: LONG BEACH, CA/UAS SIGHTING/1250P/LONG BEACH ATCT ADVISED, CESSNA C172, LGB - LGB, REPORTED A RED UAS FROM THE 1 O'CLOCK POSITION WHILE W BOUND AT 200 FEET ON .5 MILE FINAL RUNWAY 26R LGB. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",10,2022-10
2022-10-02,CALIFORNIA,SANTA ANA,"PRELIM INFO FROM FAA OPS: SANTA ANA, CA/UAS SIGHTING/1418P/JOHN WAYNE ATCT ADVISED, CESSNA C210, REPORTED UAS WHILE W BOUND AT 1,500 FEET 4 E JOHN WAYNE ARPT. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-02,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS SIGHTING/1625C/MEACHAM ATCT ADVISED, PIPER P28A, REPORTED A UAS FROM THE 7 O'CLOCK POSITION WHILE S BOUND AT 1,600 FEET 1 SW FTW. NO EVASIVE ACTION TAKEN. DFW DPS NOTIFIED.",10,2022-10
2022-10-02,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1725E/ATLANTA TRACON ADVISED, CRJ9, AGS - ATL, REPORTED A UAS 500 FEET BELOW ACFT WHILE NNW BOUND AT 4,000 FEET 20 SE ATL. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",10,2022-10
2022-10-02,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS SIGHTING/1742C/HOUSTON TRACON ADVISED, A319, MONTERREY, MEXICO (MMMY) - IAH, REPORTED A BLACK UAS AT THE 1 O'CLOCK POSITION WHILE NE BOUND AT 4,100 FEET 19 WSW IAH. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",10,2022-10
