city,state,date_x,day of sighting_x,summary_x,datetime_x,year,month,date_y,day of sighting_y,summary_y,datetime_y
PATUXENT RIVER,MARYLAND,2022-07-01,,"PRELIM INFO FROM FAA OPS: PATUXENT RIVER, MD/UAS SIGHTING/1120E/WASHINGTON ARTCC ADVISED, PIPER P46T, SAV - ABE, REPORTED A LARGE WHITE UAS 1,000 FEET BELOW ACFT WHILE N BOUND AT FL210 5 S PATUXENT RIVER. NO EVASIVE ACTION TAKEN. ATTEMPTED TO CONTACT PATUXENT RIVER PD AT, WITH NO RESPONSE.",2022-07-01,2022,7,2022-07-01,,"PRELIM INFO FROM FAA OPS: PATUXENT RIVER, MD/UAS SIGHTING/1120E/WASHINGTON ARTCC ADVISED, PIPER P46T, SAV - ABE, REPORTED A LARGE WHITE UAS 1,000 FEET BELOW ACFT WHILE N BOUND AT FL210 5 S PATUXENT RIVER. NO EVASIVE ACTION TAKEN. ATTEMPTED TO CONTACT PATUXENT RIVER PD AT, WITH NO RESPONSE.",2022-07-01
LITTLE ROCK,ARKANSAS,2022-07-01,,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS SIGHTING/1200C/LITTLE ROCK TRACON ADVISED, PIPER PA46, ASG - LIT, REPORTED A SILVER UAS 20 FEET OFF THE RIGHT SIDE WHILE E BOUND AT 5,000 FEET 15 NNW LIT. NO EVASIVE ACTION TAKEN. PULASKI COUNTY SHERIFF NOTIFIED.",2022-07-01,2022,7,2022-07-01,,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS SIGHTING/1200C/LITTLE ROCK TRACON ADVISED, PIPER PA46, ASG - LIT, REPORTED A SILVER UAS 20 FEET OFF THE RIGHT SIDE WHILE E BOUND AT 5,000 FEET 15 NNW LIT. NO EVASIVE ACTION TAKEN. PULASKI COUNTY SHERIFF NOTIFIED.",2022-07-01
LITTLE ROCK,ARKANSAS,2022-07-01,,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS SIGHTING/1200C/LITTLE ROCK TRACON ADVISED, PIPER PA46, ASG - LIT, REPORTED A SILVER UAS 20 FEET OFF THE RIGHT SIDE WHILE E BOUND AT 5,000 FEET 15 NNW LIT. NO EVASIVE ACTION TAKEN. PULASKI COUNTY SHERIFF NOTIFIED.",2022-07-01,2022,7,2022-07-04,,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS SIGHTING/0230E/LITTLE ROCK ATCT ADVISED MEDEVAC , BELL B407, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE ESE BOUND AT 2,000 FEET 6 WNW LIT. NO EVASIVE ACTION TAKEN. ARKANSAS STATE POLICE NOTIFIED.",2022-07-04
LITTLE ROCK,ARKANSAS,2022-07-01,,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS SIGHTING/1200C/LITTLE ROCK TRACON ADVISED, PIPER PA46, ASG - LIT, REPORTED A SILVER UAS 20 FEET OFF THE RIGHT SIDE WHILE E BOUND AT 5,000 FEET 15 NNW LIT. NO EVASIVE ACTION TAKEN. PULASKI COUNTY SHERIFF NOTIFIED.",2022-07-01,2022,7,2022-07-10,,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS SIGHTING/1935C/LITTLE ROCK ATCT ADVISED, SIKORSKY S76, REPORTED A UAS WHILE NE BOUND AT 2,000 FEET 9 W LIT. NO EVASIVE ACTION TAKEN. PULASKI COUNTY PD NOTIFIED.",2022-07-10
TAMPA,FLORIDA,2022-07-01,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1549E/JACKSONVILLE ARTCC ADVISED, BCS3, TPA - RIC, REPORTED A BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 12,000 FEET 8 NNW TPA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2022-07-01,2022,7,2022-07-01,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1549E/JACKSONVILLE ARTCC ADVISED, BCS3, TPA - RIC, REPORTED A BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 12,000 FEET 8 NNW TPA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2022-07-01
TAMPA,FLORIDA,2022-07-01,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1549E/JACKSONVILLE ARTCC ADVISED, BCS3, TPA - RIC, REPORTED A BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 12,000 FEET 8 NNW TPA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2022-07-01,2022,7,2022-07-09,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1045E/TAMPA ATCT ADVISED, A321, PHL - TPA, REPORTED AN UAS 1,000 FEET BELOW ACFT WHILE S BOUND AT 2,000 FEET 5 N TPA. NO EVASIVE ACTION TAKEN. HILLSBORO PD NOTIFIED.",2022-07-09
TAMPA,FLORIDA,2022-07-01,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1549E/JACKSONVILLE ARTCC ADVISED, BCS3, TPA - RIC, REPORTED A BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 12,000 FEET 8 NNW TPA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2022-07-01,2022,7,2022-07-22,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1037E/MCDILL AFB ATC REPORTED AN UAS OPERATING AT UNKN ALTITUDE 2 E MCF. NO IMPACT TO OPERATIONS. BASE OPERATIONS SECURITY NOTIFIED.",2022-07-22
TAMPA,FLORIDA,2022-07-01,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1549E/JACKSONVILLE ARTCC ADVISED, BCS3, TPA - RIC, REPORTED A BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 12,000 FEET 8 NNW TPA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2022-07-01,2022,7,2022-07-29,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1117E/TAMPA APCH ADVISED, A319, LGA - TPA, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 2,000 FEET 6 N TPA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2022-07-29
MODESTO,CALIFORNIA,2022-07-01,,"PRELIM INFO FROM FAA OPS: MODESTO, CA/UAS SIGHTING/1250P/NORCAL TRACON ADVISED, BEECH BE33, LOS BANOS, CA (LSN) - OROVILLE, CA (OVE), REPORTED A UAS PASSED 200 FEET OFF THE LEFT SIDE WHILE NNW BOUND AT 4,000 FEET 26 NE MODESTO. NO EVASIVE ACTION TAKEN. SAN JOAQUIN COUNTY SHERIFF NOTIFIED.",2022-07-01,2022,7,2022-07-01,,"PRELIM INFO FROM FAA OPS: MODESTO, CA/UAS SIGHTING/1250P/NORCAL TRACON ADVISED, BEECH BE33, LOS BANOS, CA (LSN) - OROVILLE, CA (OVE), REPORTED A UAS PASSED 200 FEET OFF THE LEFT SIDE WHILE NNW BOUND AT 4,000 FEET 26 NE MODESTO. NO EVASIVE ACTION TAKEN. SAN JOAQUIN COUNTY SHERIFF NOTIFIED.",2022-07-01
MODESTO,CALIFORNIA,2022-07-01,,"PRELIM INFO FROM FAA OPS: MODESTO, CA/UAS SIGHTING/1250P/NORCAL TRACON ADVISED, BEECH BE33, LOS BANOS, CA (LSN) - OROVILLE, CA (OVE), REPORTED A UAS PASSED 200 FEET OFF THE LEFT SIDE WHILE NNW BOUND AT 4,000 FEET 26 NE MODESTO. NO EVASIVE ACTION TAKEN. SAN JOAQUIN COUNTY SHERIFF NOTIFIED.",2022-07-01,2022,7,2022-07-21,,"PRELIM INFO FROM FAA OPS: MODESTO, CA/UAS SIGHTING/2021P/NORCAL TRACON ADVISED, A21N, AUS - SFO, REPORTED UAS FROM THE 9 O'CLOCK POSITION WHILE WSW BOUND AT 13,000 FEET 23 WSW MOD. NO EVASIVE ACTION REPORTED. SAN JOAQUIN COUNTY SHERIFF NOTIFIED.",2022-07-21
